,,,
,Work Package Ref,Service Reference,Work Package
,Work Package E - Statutory Obligations,,49.1.2.    It provides any training required by the procedures and statutory provisions in respect of all Staff (whether Buyer or Supplier Staff) at the Buyer Premises; 
,Work Package E - Statutory Obligations,,49.1.3.    It operates a Safe System of Work in accordance with their Health and Safety Policy and ensures that all risk assessments are current and accurately reflect the works and risks associated with the Services being undertaken; and 
,Work Package E - Statutory Obligations,,"49.1.4.    It ensures all activities relating to Statutory Compliance is managed through their CAFM System and that the Buyer has access to the data, via electronic interface or direct access to the Supplier’s CAFM System.  "
,Work Package E - Statutory Obligations,,"49.2.The Supplier shall be responsible for the production, review and update of all risk assessments and written schemes of examination to meet all statutory requirements e.g. SFG20, CIBSE Guide M as required as they apply to the statutory compliance services specified by the Buyer. "
,Work Package E - Statutory Obligations,,49.3.The Supplier shall provide paper copies of all Documentation associated with statutory compliance reports or Documentation for retention at the Buyer Premises. These requirements will be defined at Call-Off stage.
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,,50.   Service E:1 –Asbestos Management
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,E.1,"50.2.In addition, the following Standards Ref apply to this Service SE1."
,Work Package E - Statutory Obligations,E.1,50.3.The Supplier shall be responsible for ensuring that services provided to all Buyer Premises are statutory compliant in accordance with The Control of Asbestos Regulations: 2012.
,Work Package E - Statutory Obligations,E.1,50.4.The Supplier shall undertake an initial review of the Buyer’s Asbestos Management Plan present at the Buyer premises within the first sixty days of the Contract and be responsible for undertaking regular (at least annual) reviews of the Asbestos Management Plan thereafter. 
,Work Package E - Statutory Obligations,E.1,"50.5.Where Buyer premises are discovered to be non-compliant and do not have an asbestos risk assessment in place, the Supplier will be responsible for undertaking a review and for producing a new asbestos risk assessment on the behalf of the Buyer. Costs for this service shall be rechargeable and be managed via the Billable Works and Projects process. "
,Work Package E - Statutory Obligations,E.1,50.6.The Supplier shall maintain the Asbestos register such that it contains a comprehensive Schedule of all areas within each Buyer Premises which contain asbestos or asbestos-based products or other deleterious (ACM) materials.
,Work Package E - Statutory Obligations,E.1,50.7.The Supplier shall be responsible for the delivery of asbestos surveys and for the updating of the asbestos register following refurbishment and demolition works. Where these works were undertaken by Buyer appointed third-party suppliers the costs for the work shall be rechargeable and be subject to the Billable Works and Projects process. 
,Work Package E - Statutory Obligations,E.1,50.8.Where asbestos removal works are required by the Buyer the works shall be undertaken by the Supplier the costs for the works shall be rechargeable and be subject to the Billable Works and Projects process.
,Work Package E - Statutory Obligations,E.1,50.9.The Supplier shall publish and convey the contents of the Asbestos register to all its Staff and appointed sub-contractors that are likely to be at risk of interfacing with this substance or have an interface with activities which may expose them to this substance. 
,Work Package E - Statutory Obligations,E.1,50.10.                  The Supplier shall ensure that: 
,Work Package E - Statutory Obligations,E.1,"50.10.1. The process of identifying, signing and tagging all areas is kept up to date and that the condition of the identified material is monitored in accordance with legislative requirements;"
,Work Package E - Statutory Obligations,E.1,"50.10.2. All identification, tagging, monitoring and removal are to be carried out by employing a suitably licensed and competent specialist; "
,Work Package E - Statutory Obligations,E.1,50.10.3. Notifications are issued to HSE for licensed works as required; and
,Work Package E - Statutory Obligations,E.1,"50.10.4. That all activities, irrespective of their level of complexity are executed within areas identified as having asbestos or other deleterious materials, shall be provided with full risk assessments and method statements for safe execution of their task."
,Work Package E - Statutory Obligations,E.1,50.11.                  The Supplier shall appoint UKAS accredited surveyors and testing laboratories to carry out inspections.
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,,51.   Service E:2 - Water hygiene maintenance
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,E.2,"51.2.In addition, the following Standards Ref apply to this Service SE2."
,Work Package E - Statutory Obligations,E.2,51.3.The Supplier shall be responsible for ensuring that services provided to all Buyer Premises are statutory compliant.  
,Work Package E - Statutory Obligations,E.2,"51.4.The Supplier shall undertake an initial review of the Buyer’s Water Management Plan present at the Buyer premises within the first six months of the Contract and be responsible for undertaking regular (at least annual) reviews of the water management plan and legionella risk assessment thereafter and shall issue a detailed report which outlines areas of risk, recommendations to remove the risks, schematic drawings and photographic evidence of all areas of risk.."
,Work Package E - Statutory Obligations,E.2,"51.5.Where Buyer premises are discovered to be non-compliant and do not have a water risk assessment in place, the Supplier shall be responsible for undertaking a review and for producing a new legionella risk assessment on the behalf of the Buyer. Costs for this service shall be rechargeable and be managed via the Billable Works and Projects process. "
,Work Package E - Statutory Obligations,E.2,51.6.The Supplier shall have a written scheme of examination and maintain a water hygiene log book.
,Work Package E - Statutory Obligations,E.2,"51.7.The Supplier shall provide a Water Hygiene Service that includes a cleaning and disinfection regime in accordance with current Health and Safety requirements as specified within the FM Service Standards and water treatments to include hard water treatments and PH level testing. These Services shall include the provision of all associated consumables to include water softening cartridges, PH testing equipment and ultraviolet (""UV"") filters."
,Work Package E - Statutory Obligations,E.2,"51.8.The Supplier shall produce and implement an inspection and monitoring regime to check systems and plant for performance, cleanliness, contamination and damage. "
,Work Package E - Statutory Obligations,E.2,51.9.Temperatures shall be monitored to ensure that the required Standard of control is reached within the code of practice guidelines.
,Work Package E - Statutory Obligations,E.2,51.10.                  The Supplier shall report any anomalies that may be detected and detail corrective works where required. Buyer Premises records shall be audited and amended.
,Work Package E - Statutory Obligations,E.2,"51.11.                  The Supplier shall produce and implement a regime of bacteria sampling to detect Legionella, e-coli and any other water bound bacteria using an UKAS accredited laboratory."
,Work Package E - Statutory Obligations,E.2,51.12.                  The Supplier shall empty tank bunds of all contaminated and uncontaminated water and dispose of water in a manner that accords with the level of contamination.
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,,52.   Service E:3 - Statutory Inspections
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,E.3,"52.2.In addition, the following Standards Ref apply to this Service SE3."
,Work Package E - Statutory Obligations,E.3,52.3.The Supplier shall be responsible for ensuring that the Buyer premises achieve full statutory compliance at all times.
,Work Package E - Statutory Obligations,E.3,"52.4.The requirement of this service is to deliver a service applicable where the delivery of maintenance services (as outlined in Work Package C) are not required by the Buyer at Call Off. For the avoidance of doubt, this service excludes planned maintenance activities which are not associated with statutory inspections. "
,Work Package E - Statutory Obligations,E.3,"52.5.The Supplier shall be responsible for the delivery of all statutory inspections, certification, air monitoring, risk assessments, written schemes of examination and insurance inspections as required to achieve and maintain statutory compliance. "
,Work Package E - Statutory Obligations,E.3,"52.6.The service shall be fully inclusive of all Buyer’s systems and assets including M&E systems, safety access equipment, building protection systems, air conditioning systems, gas systems, water systems, pressure systems, fire protection systems, access control and security systems.   "
,Work Package E - Statutory Obligations,E.3,"52.7.The Supplier shall be responsible for Display Energy Certificates and shall perform the audit, issue and display and renewal the energy certificates at Buyer premises as required by the Buyer, including those Buyer Premises which require DEC’s under Government legislation. The Supplier shall appoint an accredited energy surveyor and ensure all DECs are displayed by the required date. "
,Work Package E - Statutory Obligations,E.3,"52.8.The Supplier shall appoint an accredited energy surveyor and ensure Energy Performance Certificates (""EPC"") are provided, where required at the Buyer Premises by the required date. This service shall be managed via the Billable Works and Projects process."
,Work Package E - Statutory Obligations,E.3,"52.9.The Supplier shall set up an annual programme of statutory inspections to ensure all assets and equipment receive the required inspections at the correct time as specified by legislation, approved codes of practice, best practice and manufacturer’s guidelines as appropriate.  "
,Work Package E - Statutory Obligations,E.3,52.10.                  The Supplier will ensure that any specific requirements of the Buyer are included in the planning and Delivery of these works.
,Work Package E - Statutory Obligations,E.3,52.11.                  The programme shall be issued to the Buyer sixty (60) days in advance of all works taking place. 
,Work Package E - Statutory Obligations,E.3,"52.12.                  The Supplier shall at all times comply with all relevant EC and UK statutory and legislative requirements, including any alterations to policy as may take place and shall be the sole point of contact for any of the Buyer’s concerns with that aspect of performance."
,Work Package E - Statutory Obligations,E.3,"52.13.                  Periodic inspections will be made by Public Health, Hygiene, Fire Inspectors, the Buyer Authorised Representative, landlord and other such persons. The Supplier shall co-operate with the persons executing these inspections."
,Work Package E - Statutory Obligations,E.3,"52.14.                  The control and execution of this Service shall be managed entirely by the CAFM System and subject to the specified performance Standards, whether fulfilled directly by its Staff or by a third party supplier. "
,Work Package E - Statutory Obligations,E.3,52.15.                  The Supplier shall ensure that all reports and recommendations are held centrally within the CAFM System.
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,,53.   Service E:4 - Portable Appliance Testing
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,E.4,"53.2.In addition, the following Standards Ref apply to this Service SE4."
,Work Package E - Statutory Obligations,E.4,53.3.The Supplier shall be responsible for ensuring that all Buyer Premises are tested in compliance with the Buyer’s risk-based approach.
,Work Package E - Statutory Obligations,E.4,"53.4.Portable Appliance Testing of Buyer equipment shall be carried out in accordance with this Service Requirement. Where electrical equipment can be identified as personal and belonging to members of the Supplier’s Staff or the Buyer’s Staff, it shall be tested if it is being used at the Buyer Premises and permission has been granted for it to be used as such."
,Work Package E - Statutory Obligations,E.4,53.5.PAT testing shall be risk based and take account of individual equipment’s usage and location. The Supplier shall intimate the expected frequency based on the risk presented to the Class 1 and Class 2 electrical and electronic equipment of the Buyer by the working environments within the Buyer Premises.
,Work Package E - Statutory Obligations,E.4,53.6.As an integral part of the maintenance Service the Supplier shall test any item of equipment introduced to the Buyer Premises prior to this being used. The Supplier shall then tag and log the equipment.
,Work Package E - Statutory Obligations,E.4,53.7.The Supplier shall ensure that Supplier Staff who control and execute the Service are managed entirely by the CAFM System in line with the overall PPM schedule and shall be subject to the same performance Standards.  All reports and recommendations shall be held centrally within the CAFM System.
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,,"54.   Service E:5 - Compliance plans, specialist surveys and Audits"
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,E.5,"54.2.In addition, the following Standards Ref apply to this Service SE5."
,Work Package E - Statutory Obligations,E.5,"54.3.Within 90 days of contract commencement or at a frequency specified by the Buyer at Call Off, the Supplier shall provide a statement on whether the Buyer Premises in its current condition and in the way it is currently used is fully complaint with all statutory requirements. "
,Work Package E - Statutory Obligations,E.5,54.4.The Supplier shall produce and submit a compliance plan detailing remedial action required to ensure compliance with the Buyer’s statutory and/or insurance obligations. The Supplier shall include costs for the provision of this compliance plan within the contract Charges. 
,Work Package E - Statutory Obligations,E.5,54.5.Where remedial action is required and is agreed by the Buyer it shall be managed via the Billable Works and Projects process. 
,Work Package E - Statutory Obligations,E.5,"54.6.Where additional surveys, specialist surveys and audits may be required by the Buyer, these shall be provided upon request and be rechargeable via the Billable Works and Projects process. "
,Work Package E - Statutory Obligations,E.5,"54.7.The Supplier shall develop and agree their quality Audit programme with the Buyer during Contract mobilisation, in accordance with Call-Off Schedule 13 - Mobilisation Plan and Testing. The programme shall show registration body inspection visits, Buyer audits, internal Supplier assessor visits and audits Delivered by independent bodies. "
,Work Package E - Statutory Obligations,E.5,54.8.The appointment of independent auditors and inspection bodies shall be approved by the Buyer prior to the commencement of any works at the Buyer Premises.
,Work Package E - Statutory Obligations,E.5,54.9.The Supplier shall allow the Buyer to attend third party surveillance visits by its registration body throughout the period of the Contract
,Work Package E - Statutory Obligations,E.5,54.10.                  The results of the audits and inspections shall be made available to the Buyer within four (4) weeks of completion of the Audit and shall be recorded on the Supplier’s CAFM System.  
,Work Package E - Statutory Obligations,E.5,"54.11.                  The Supplier shall be responsible for undertaking an annual review of their Quality Management System (""QMS"") with the Buyer to ensure compliance with ISO 9001:2015 (or current edition) to ensure the management systems continue to be suitable, adequate and effective for the Contract.  "
,Work Package E - Statutory Obligations,E.5,54.12.                  The Supplier shall provide assistance and information to the Buyer and be responsible for making arrangements for any independent audits organised by the Buyer at the Buyer Premises upon request. These may include:
,Work Package E - Statutory Obligations,E.5,54.12.1. National Audit Office;
,Work Package E - Statutory Obligations,E.5,54.12.2. Specialist staff inspections including medical or logistics;
,Work Package E - Statutory Obligations,E.5,54.12.3. Defence Internal Audit Office;
,Work Package E - Statutory Obligations,E.5,54.12.4. Environmental Health inspection;
,Work Package E - Statutory Obligations,E.5,54.12.5. Trading Standards inspection;
,Work Package E - Statutory Obligations,E.5,54.12.6. All Statutory legislative inspections;
,Work Package E - Statutory Obligations,E.5,54.12.7. Site inspections and compliance inspections and audits;
,Work Package E - Statutory Obligations,E.5,54.12.8. Parliamentary enquiries and questions; and 
,Work Package E - Statutory Obligations,E.5,54.12.9. Freedom of information requests.
,Work Package E - Statutory Obligations,E.5,54.13.                  The Supplier shall always and immediately upon discovery notify the Buyer when a Buyer Premise becomes non-compliant at any time and/or for any reason.
,Work Package E - Statutory Obligations,E.5,54.14.                  The Supplier shall ensure that all records of inspection are shared with the Buyer and linked to the space location and componentry associated to the inspection of the Asset through the Asset information requirements.
,Work Package E - Statutory Obligations,E.5,"54.15.                  The Buyer may require Building Research Establishment Environmental Assessment Methodology (""BREEAM"") in-use or similar assessment of the building's performance to be carried out at agreed intervals. This Service shall be provided upon request and be managed via the Billable Works and Projects process. "
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,,55.   Service E:6 - Condition surveys
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,E.6,"55.2.In addition, the following Standards Ref apply to this Service SE6."
,Work Package E - Statutory Obligations,E.6,"55.3.The Supplier shall provide a professionally managed planned programme of condition surveys that shall cover all systems, assets and building fabric and be carried out annually by competent and qualified staff. Where the Buyer requires Condition Surveys more frequently than annually, the requirement will be defined at Call Off and priced accordingly. "
,Work Package E - Statutory Obligations,E.6,"55.4.The Supplier shall update the Condition Surveys where this is required within five (5) Working Days following upgrade or replacement of Assets.  The Condition Surveys shall cover all systems, assets and building fabric and be available in hard and electronic format.  The Condition Surveys shall form the basis of the forward maintenance register where required."
,Work Package E - Statutory Obligations,E.6,"55.5.Results from Condition Surveys shall generate a report which shall include the condition of the assets, systems and building fabric, recommendations and budgetary costs. "
,Work Package E - Statutory Obligations,E.6,55.6.The Report shall have a link to (or be stored in) the CAFM System and any other relevant Buyer IT system. 
,Work Package E - Statutory Obligations,E.6,55.7.Upon request additional condition surveys shall be rechargeable via the Billable Works and Approvals process detailed in Appendix 3 - Billable Works and Approvals Process.
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,,56.   Service E:7 -  Electrical Testing 
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,E.7,56.2.The Supplier shall undertake an electrical installation condition report in accordance with Electricity at Work Regulations 1989 and BS 7671 (as amended).
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,,57.   Service E:8 -  Fire Risk Assessments 
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,E.8,57.2.The Supplier shall review the fire risk assessment and fire safety plans at Buyer premises and undertake subsequent reviews as an in-scope Service. The Costs for these Services shall be included in the Charges. 
,Work Package E - Statutory Obligations,E.8,"57.3.Where Buyer premises are discovered to be non-compliant and do not have a fire risk assessment in place, the Supplier be responsible for undertaking a review and for producing a new fire risk assessment on the behalf of the Buyer. Costs for this service and any associated remedial works shall be rechargeable and be managed via the Billable Works and Projects process. "
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,,"58.   Service E:9- Building Information Modelling (""BIM"") and Government Soft Landings (""GSL"")"
,Work Package E - Statutory Obligations,,
,Work Package E - Statutory Obligations,E.9,58.2.The Supplier shall support the Authority and individual Buyer requirements for Delivery of a number of strategic priorities related to the wider Government policy by the adoption of measures to improve efficiency and value for money. 
,Work Package E - Statutory Obligations,E.9,58.3.These shall include:
,Work Package E - Statutory Obligations,E.9,58.3.1.    Delivering projects in line with Government’s Common Minimum Standards where applicable;
,Work Package E - Statutory Obligations,E.9,"58.3.2.    Government Soft Landings (""GSL""); and "
,Work Package E - Statutory Obligations,E.9,"58.3.3.    Building information Modelling (""BIM"") Level 2 for all Projects."
,Work Package E - Statutory Obligations,E.9,58.4.The Supplier shall have regard to the explanation of BIM and GSL requirements across the industry.    
,Work Package E - Statutory Obligations,E.9,"58.5.The Supplier shall comply with BIM Level 2 Standards and any updates to these Standards. Where Buyer requirements exceed this level, further information will be provided at Call-Off. "
,Work Package E - Statutory Obligations,E.9,58.6.The Supplier should be aware that for the purposes of this Framework PAS 1192:2 relates to project Delivery within the suite of BIM Standards and PAS 1192:3 relates to the management of information in operation of the Asset and aligns to ISO 55001. 
,Work Package E - Statutory Obligations,E.9,"58.7.It is expected that the classification Standards applied should as a minimum reference Uniclass 2015, SFG20 and the NRM3 to enable the ease of transfer between projects and Asset management operations. "
,Work Package E - Statutory Obligations,E.9,"58.8.The Buyer shall be responsible, upon request, for the provision of a fully complete Asset register as a minimum codified in line with the above Standards and presented using a Construction Operations Building information Exchange (""COBie"") file either in .XLS or .XML."
,Work Package E - Statutory Obligations,,
,Work Package F - Catering Services,,Work Package F – Catering Services
,Work Package F - Catering Services,,
,Work Package F - Catering Services,,59.   Generic catering requirements
,Work Package F - Catering Services,,59.1.The Supplier shall be subjected to additional GBS in relation to food and catering in accordance with Appendix 1 Government Buying Standards for Food and Catering Services and shall supply:
,Work Package F - Catering Services,,59.1.1.    A value for money staff catering service which is consistent with current food Service trends and the Buyer’s requirements and expectations;
,Work Package F - Catering Services,,"59.1.2.    A Catering Service Business Plan shall be produced and shall include the identification and exploration of all potential opportunities to develop and enhance the catering service to Deliver continual improvement, greater efficiency, enhanced customer experience and generation of additional income streams;"
,Work Package F - Catering Services,,59.1.3.    A Quarterly Balanced Scorecard submission to include the associated Defra “The Food Marketplace” certification as applicable to the catering provision at the Buyer Premises; 
,Work Package F - Catering Services,,"59.1.4.    A range of catering and vending options, serving hot and cold food and drink offers to all building users; and"
,Work Package F - Catering Services,,"59.1.5.    A Service which facilitates a contribution by concession fee to space, FM and utility Costs where feasible and appropriate for the location."
,Work Package F - Catering Services,,59.2.The Supplier shall ensure that:
,Work Package F - Catering Services,,"59.2.1.    Where a contribution by concession fee is not appropriate for the location, the Services required by the Buyer are provided by another agreed financial remedy which will be detailed at Call-Off stage;"
,Work Package F - Catering Services,,59.2.2.    Services are provided at convenient locations with optimal footfall or as advised by the Buyer;
,Work Package F - Catering Services,,59.2.3.    They operate a pricing policy that is benchmarked to high street and Buyer budgets as evidenced by the Buyer’s requirements;
,Work Package F - Catering Services,,59.2.4.    They provide a complete price and quality benchmarking exercise at Contract commencement and every 6 Months thereafter to validate and support proposed changes to pricing;
,Work Package F - Catering Services,,59.2.5.    They seek to maximise the use of the facilities and opportunities for increases in revenue from the Delivery of the Service;
,Work Package F - Catering Services,,59.2.6.    They do not offer any form of credit of deferred payment to customers for the Services;
,Work Package F - Catering Services,,"59.2.7.    They provide options for payment to the Buyer that include cash, cashless, debit-card and credit-card payment systems;"
,Work Package F - Catering Services,,59.2.8.    They provide ATM Services where required by the Buyer;
,Work Package F - Catering Services,,"59.2.9.    They provide Services which align to healthy eating, sustainability and provenance guidelines and the requirements requested by the Buyer at Call-Off stage; and"
,Work Package F - Catering Services,,59.2.10. Training Schedules are updated regularly to successfully maintain the provision of the Services at the Buyer Premises.
,Work Package F - Catering Services,,"59.3.All Service and production equipment, fixtures and fittings shall be provided by the Supplier, unless already provided by the Buyer, or agreed at Call-Off stage."
,Work Package F - Catering Services,,59.4.Offer styles shall be pre-determined by the Buyer and shall include the following factors:
,Work Package F - Catering Services,,59.4.1.    Location of Buyer Premises;
,Work Package F - Catering Services,,59.4.2.    Location of trading points and trolley runs
,Work Package F - Catering Services,,59.4.3.    Buyer Premises activity;
,Work Package F - Catering Services,,59.4.4.    Buyer Premises footfall;
,Work Package F - Catering Services,,59.4.5.    Wider community sales opportunities; and
,Work Package F - Catering Services,,59.4.6.    Staff budgets.
,Work Package F - Catering Services,,"59.5.Where deemed appropriate, the Service outlet provision shall be Delivered as shell and core by the Buyer along with the provision of air handling and lighting. The Supplier shall be responsible for the rest of the fit-out.  In this circumstance, the Supplier shall be responsible for the payment for water, gas, electricity and waste on a pay-as-used basis. The Buyer shall arrange sub-metering if necessary."
,Work Package F - Catering Services,,59.6.The Supplier shall provide storage and access to the Delivery and waste areas where necessary.
,Work Package F - Catering Services,,59.7.Where a Buyer Premises is open to the public the Supplier shall offer discounted or preferential pricing for staff using the facility. This shall be detailed at Call-Off stage if required.
,Work Package F - Catering Services,,
,Work Package F - Catering Services,,60.   Service F:1 - Chilled potable water
,Work Package F - Catering Services,,
,Work Package F - Catering Services,F.1,"60.2.In addition, the following Standards Ref apply to this Service SF1."
,Work Package F - Catering Services,F.1,60.3.The Supplier shall propose the method of supplying chilled water. The Supplier shall be solely responsible for the provision of all chilled potable water to each Buyer Premises.
,Work Package F - Catering Services,F.1,"60.4.Where mains connected coolers are proposed, the Supplier shall provide a system, whereby the provision, maintenance and sanitation of the chilled cooler and water are contained within the Charges for each Buyer Premises. No further charge shall be levied."
,Work Package F - Catering Services,F.1,60.5.The Supplier shall have the ability to purchase bottled water in large numbers for business continuity purposes and annual ceremonial or seasonal events where required. 
,Work Package F - Catering Services,F.1,"60.6.During the mobilisation period the Supplier shall provide the Buyer with a proposal for the use, disposal or otherwise of the extant non- permanent water coolers located within each Buyer Premises. This shall include the management of the cancellation of any prevailing contracts not supplied by the Supplier."
,Work Package F - Catering Services,,
,Work Package F - Catering Services,,61.   Service F:2 – Retail Services / Convenience Store
,Work Package F - Catering Services,,
,Work Package F - Catering Services,F.2,"61.2.In addition, the following Standards Ref apply to this Service SF2."
,Work Package F - Catering Services,F.2,"61.3.The Supplier shall provide a self-Service retail outlet that offers predominantly chilled food, beverages, confectionery and non-food items."
,Work Package F - Catering Services,F.2,"61.4.The Supplier shall acquire and maintain all necessary operating licences, accreditations and approvals relating to delivery of the retail services and shall bear all associated costs."
,Work Package F - Catering Services,F.2,61.5.The Buyer will not be responsible for the provision of custom for retail service outlets at the Buyer Premises.  
,Work Package F - Catering Services,F.2,61.6.The Supplier shall ensure their pricing strategy for retail Services is Delivered in accordance with the following requirements: 
,Work Package F - Catering Services,F.2,61.6.1.    The requirement to seek to maximise the take-up of the retail Services;
,Work Package F - Catering Services,F.2,61.6.2.    The requirement to undertake and complete a price and quality benchmarking exercise at Mobilisation and every six 6 Months thereafter to validate the pricing strategy;
,Work Package F - Catering Services,F.2,"61.6.3.    The requirement to provide clear pre-purchase pricing information for all retail Services transactions, in a format and style acceptable to the Buyer;"
,Work Package F - Catering Services,F.2,61.6.4.    The requirement to operate cashless payment systems wherever appropriate; 
,Work Package F - Catering Services,F.2,"61.6.5.    The requirement to provide, maintain and operate till systems for taking payments from retail Services customers; and "
,Work Package F - Catering Services,F.2,61.6.6.    The requirement to prevent the issue of any form of credit or deferred payment to customers.
,Work Package F - Catering Services,,
,Work Package F - Catering Services,,62.   Service F:3 - Deli / coffee bar
,Work Package F - Catering Services,,
,Work Package F - Catering Services,F.3,"62.2.In addition, the following Standards Ref apply to this Service SF3."
,Work Package F - Catering Services,F.3,62.3.The Supplier shall provide a counter Service offering with a mix of ready-made grab and go items and made to Order choices. This can be served from a fixed counter or mobile cart. 
,Work Package F - Catering Services,F.3,62.4.Some Buyer Premises may opt for hot beverage and grab and go offer because of higher returns and space configuration so this option shall be made available if required.
,Work Package F - Catering Services,,
,Work Package F - Catering Services,,63.   Service F:4 - Events and functions  
,Work Package F - Catering Services,,
,Work Package F - Catering Services,F.4,"63.2.In addition, the following Standards Ref apply to this Service SF4."
,Work Package F - Catering Services,F.4,"63.3.This Service requirement shall be outside the Charges and shall be dealt with via Appendix 3 - Billable Works and Approval Process for each event / function to include food, labour, profit and overheads."
,Work Package F - Catering Services,F.4,63.4.The Supplier shall provide an on-demand catering service for events and functions as required.
,Work Package F - Catering Services,,
,Work Package F - Catering Services,,64.   Service F:5 - Full service restaurant
,Work Package F - Catering Services,,
,Work Package F - Catering Services,F.5,"64.2.In addition, the following Standards Ref apply to this Service SF5."
,Work Package F - Catering Services,F.5,64.3.The Supplier shall provide 
,Work Package F - Catering Services,F.5,"64.3.1.    A Full Service Restaurant provision which shall feature but not be limited to a range of freshly prepared meals, snacks and beverages with seating areas. Typically opening for continental and cooked breakfast; lunch and afternoon break. The Supplier shall provide multiple counters including hot choices deli, coffee and salads;"
,Work Package F - Catering Services,F.5,"64.3.2.    A range, choice and quality of menu offers that meets the Buyer’s requirements and expectations, maximises utilisation and spend and is commensurate with the operational and physical design of the facility; and"
,Work Package F - Catering Services,F.5,"64.3.3.    A daily menu that is consistent in range, choice and quality with the Supplier’s Tender submission at Call-Off stage."
,Work Package F - Catering Services,F.5,64.4.The Supplier shall:
,Work Package F - Catering Services,F.5,64.4.1.    Provide a minimum daily menu range which shall be agreed with the Buyer;
,Work Package F - Catering Services,F.5,64.4.2.    Be expected to provide an appropriate daily variety of menu offers which promotes the use of the facility and maintains consumer interest;
,Work Package F - Catering Services,F.5,64.4.3.    Ensure that the menu offering has a range of healthy and balanced options;
,Work Package F - Catering Services,F.5,64.4.4.    Continually review and refine the menu offer in order to meet changing consumer demands and thus maximise sales and levels of utilisation;
,Work Package F - Catering Services,F.5,"64.4.5.    Be responsible for providing all menu boards, menus and tariffs and other point of sale merchandising materials; and"
,Work Package F - Catering Services,F.5,"64.4.6.    Ensure that a menu board advertising the full menu range is available, together with the current agreed tariff. The menu board shall be prominently displayed both within the restaurant outlet, externally to the outlet and in prominent locations around the Buyer Premises. The menu and tariff shall be well presented, printed or type written and clearly legible."
,Work Package F - Catering Services,F.5,64.5.Portion sizes shall be agreed in writing between the Supplier and Buyer at the outset and monitored at regular intervals to ensure that significant plate food waste is not an unintended consequence of larger portion sizes.
,Work Package F - Catering Services,,
,Work Package F - Catering Services,,65.   Service F:6 - Hospitality and meetings
,Work Package F - Catering Services,,
,Work Package F - Catering Services,F.6,"65.2.In addition, the following Standards Ref apply to this Service SF6."
,Work Package F - Catering Services,F.6,65.3.The Supplier shall: 
,Work Package F - Catering Services,F.6,65.3.1.    Provide an on-demand Service as required;
,Work Package F - Catering Services,F.6,"65.3.2.    Ensure working lunches, beverages, hot meals and buffets are available where required; and"
,Work Package F - Catering Services,F.6,65.3.3.    Operate an effective booking and charging system for all ad hoc hospitality or meeting catering Services. 
,Work Package F - Catering Services,F.6,65.4.Hospitality menus and price lists shall be made available by the Supplier and agreed with the Buyer on a regular basis. 
,Work Package F - Catering Services,F.6,"65.5.Where the Buyer Premises is open for external trading, preferential prices for internal business should be made available and negotiated/agreed with the Buyer."
,Work Package F - Catering Services,F.6,65.6.Commercial prices for external business and opening / operating times should also be agreed with the Buyer.
,Work Package F - Catering Services,,
,Work Package F - Catering Services,,66.   Service F:7 - Outside catering
,Work Package F - Catering Services,,
,Work Package F - Catering Services,F.7,"66.2.In addition, the following Standards Ref apply to this Service SF7."
,Work Package F - Catering Services,F.7,66.3.The Supplier shall provide an on-demand outside Catering Service as required. Further details will be provided at Call-Off stage.
,Work Package F - Catering Services,,
,Work Package F - Catering Services,,67.   Service F:8 - Trolley service
,Work Package F - Catering Services,,
,Work Package F - Catering Services,F.8,"67.2.In addition, the following Standards Ref apply to this Service SF8."
,Work Package F - Catering Services,F.8,67.3.The Supplier shall provide a trolley service offering a range of snacks and hot/cold beverages which follows a pre-determined route. 
,Work Package F - Catering Services,F.8,67.4.The items shall be Delivered where building users collect from a pre-determined point within the Buyer Premises.
,Work Package F - Catering Services,,
,Work Package F - Catering Services,,68.   Service F:9 – Vending Services (food and beverages)
,Work Package F - Catering Services,,
,Work Package F - Catering Services,F.9,"68.2.In addition, the following Standards Ref apply to this Service SF9."
,Work Package F - Catering Services,F.9,68.3.The Supplier shall provide 
,Work Package F - Catering Services,F.9,68.3.1.    Continuous service primarily for twenty-four (24) hours seven (7) days a week workers or where a Catering Service is unviable;
,Work Package F - Catering Services,F.9,"68.3.2.    A vending Service that will include hot and cold drinks, sweets and snacks, fresh fruit and pre-packed food items; and"
